Subdivision category,3166-2 code,Subdivision name,Local variant,Language code,Romanization system,Parent subdivision
region,NZ-AUK,Auckland,,en,,
region,NZ-BOP,Bay of Plenty,,en,,
region,NZ-CAN,Canterbury,,en,,
special island authority,NZ-CIT*,Chatham Islands Territory,,en,,
region,NZ-GIS,Gisborne,,en,,
region,NZ-WGN,Greater Wellington,,en,,
region,NZ-HKB,Hawke's Bay,,en,,
region,NZ-MWT,Manawatū Whanganui,,mi,,
region,NZ-MWT,Manawatū-Whanganui,,en,,
region,NZ-MBH,Marlborough,,en,,
region,NZ-NSN,Nelson,,en,,
region,NZ-NTL,Northland,,en,,
region,NZ-OTA,Otago,,en,,
region,NZ-STL,Southland,,en,,
region,NZ-TKI,Taranaki,,en,,
region,NZ-TKI,Taranaki,,mi,,
region,NZ-TAS,Tasman,,en,,
region,NZ-HKB,Te Matau-a-Māui,,mi,,
region,NZ-WGN,Te Pane Matua Taiao,,mi,,
region,NZ-WTC,Te Tai o Poutini,,mi,,
region,NZ-STL,Te Taiao Tonga,,mi,,
region,NZ-GIS,Te Tairāwhiti,,mi,,
region,NZ-NTL,Te Taitokerau,,mi,,
region,NZ-TAS,Te tai o Aorere,,mi,,
region,NZ-BOP,Toi Moana,,mi,,
region,NZ-AUK,Tāmaki-Makaurau,,mi,,
region,NZ-WKO,Waikato,,en,,
region,NZ-WKO,Waikato,,mi,,
region,NZ-CAN,Waitaha,,mi,,
region,NZ-WTC,West Coast,,en,,
region,NZ-NSN,Whakatū,,mi,,
special island authority,NZ-CIT*,Wharekauri,,mi,,
region,NZ-OTA,Ō Tākou,,mi,,
